Item,Value
Wall Height (h) [m],8
Base Plate Front Length (b1) [m],0.7
Stem Bottom Width (b2) [m],0.4
Base Plate Back Length (b3) [m],0.9
Stem Top Width (a) [m],0.2
Base Plate Height (t1) [m],0.5
Base Plate Front Height (t2) [m],0.4
Base Plate Back Height (t3) [m],0.3
Stem Back Face Slope Angle (αb) [o],1.5
