Item,Value
Internal Friction Angle (ɸ) [o],27
Wall Friction Angle (δ) [o],18
Dry Unit Weight (γd) [kN/m3],18
Saturated Unit Weight (γsat) [kN/m3],20
Soil Height (Ha) [m],6.85
Water Table Height from the Base Plate (Hw) [m],0
Fill Slope Angle (i) [o],0
